"","Provider.ID","Hospital.Name","Total.Performance.Score","Measure.Name","Measure.ID","Mortality.Rate"
"26",140101,"MORRIS HOSPITAL & HEALTHCARE CENTERS",32.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.5
"27",260195,"CITIZENS MEMORIAL HOSPITAL",43.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.5
"28",170020,"HUTCHINSON REGIONAL MEDICAL CENTER INC",31.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.6
"29",390026,"CHESTNUT HILL HOSPITAL",18.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.6
"30",510050,"WHEELING HOSPITAL",27.2262,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.6
"31",40088,"MEDICAL CENTER OF SOUTH ARKANSAS",33.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"32",20008,"BARTLETT REGIONAL HOSPITAL",54.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"33",40067,"MAGNOLIA HOSPITAL",32.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"34",100212,"OCALA REGIONAL MEDICAL CENTER",17.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"35",50038,"SANTA CLARA VALLEY MEDICAL CENTER",27.0476,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"36",50056,"ANTELOPE VALLEY HOSPITAL",17.8452,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"37",100046,"FLORIDA HOSPITAL ZEPHYRHILLS",36.1548,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.7
"38",450653,"SCENIC MOUNTAIN MEDICAL CENTER",40.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.8
"39",50359,"TULARE REGIONAL MEDICAL CENTER",18.5417,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.8
"40",280132,"BELLEVUE MEDICAL CENTER",42,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.8
"41",230108,"UP HEALTH SYSTEM PORTAGE",57.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"42",440067,"LAKEWAY REGIONAL HOSPITAL",18.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"43",450192,"HILL REGIONAL HOSPITAL",49.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"44",40019,"FORREST CITY MEDICAL CENTER",46.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"45",110007,"PHOEBE PUTNEY MEMORIAL HOSPITAL",21.3571,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"46",340021,"CAROLINAS HEALTHCARE SYSTEM CLEVELAND",26.6905,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",11.9
"47",340133,"MARTIN GENERAL HOSPITAL",45.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"48",390031,"LEHIGH VALLEY HOSPITAL-SCHUYLKILL E. NORWEGIAN STR",26.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"49",440132,"HENRY COUNTY MEDICAL CENTER",46.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"50",250082,"DELTA REGIONAL MEDICAL CENTER",24.2024,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"51",440065,"NORTHCREST MEDICAL CENTER",47.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"52",440104,"ERLANGER MEDICAL CENTER",15.6548,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"53",140032,"ST ANTHONYS MEMORIAL HOSPITAL",39.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"54",230096,"STURGIS HOSPITAL",26.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"55",250069,"RUSH FOUNDATION HOSPITAL",8.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12
"56",440187,"LIVINGSTON REGIONAL HOSPITAL",25.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"57",500016,"CENTRAL WASHINGTON HOSPITAL",48.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"58",50633,"TWIN CITIES COMMUNITY HOSPITAL",28.7917,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"59",10120,"MONROE COUNTY HOSPITAL",46.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"60",40071,"JEFFERSON REGIONAL MEDICAL CENTER",20.7024,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"61",50121,"ADVENTIST HEALTH HANFORD",32.7262,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.1
"62",50280,"MERCY MEDICAL CENTER REDDING",19.3571,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"63",140064,"ST MARY MEDICAL CENTER",40,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"64",340147,"NASH GENERAL HOSPITAL",26.2024,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"65",490112,"CJW MEDICAL CENTER",27.4286,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"66",520193,"AURORA BAYCARE MEDICAL CTR",43.0238,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"67",40078,"NATIONAL PARK MEDICAL CENTER",27.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.2
"68",50279,"HI-DESERT MEDICAL CENTER",39.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"69",50746,"ORANGE COUNTY GLOBAL MEDICAL CENTER",28.2976,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"70",100249,"SEVEN RIVERS REGIONAL MEDICAL CENTER",23.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"71",250078,"FORREST GENERAL HOSPITAL",26.7262,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"72",370022,"JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY",48.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"73",370153,"ELKVIEW GENERAL HOSPITAL",34,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"74",10005,"MARSHALL MEDICAL CENTER SOUTH",33.5238,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"75",10035,"CULLMAN REGIONAL MEDICAL CENTER",36.5119,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"76",50464,"DOCTORS MEDICAL CENTER",23.1548,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"77",180049,"BAPTIST HEALTH RICHMOND",44.2917,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.3
"78",280032,"MARY LANNING HEALTHCARE",22.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"79",290022,"DESERT SPRINGS HOSPITAL",21.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"80",390073,"UPMC ALTOONA",22.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"81",390118,"BRADFORD REGIONAL MEDICAL CENTER",31.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"82",500141,"ST FRANCIS COMMUNITY HOSPITAL",33.1905,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"83",330078,"SISTERS OF CHARITY HOSPITAL",24.0357,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"84",340027,"UNC LENOIR HEALTH CARE",33.1071,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"85",420068,"TRMC OF ORANGEBURG & CALHOUN",32.4405,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"86",450133,"MIDLAND MEMORIAL HOSPITAL",21.5476,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"87",450596,"LAKE GRANBURY MEDICAL CENTER",29.625,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"88",670044,"TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL",34.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"89",50296,"HAZEL HAWKINS MEMORIAL HOSPITAL",46,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"90",140058,"PASSAVANT AREA HOSPITAL",48.375,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.4
"91",170058,"MERCY HOSPITAL-FORT SCOTT",46,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"92",420023,"ST FRANCIS-DOWNTOWN",38.0595,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"93",500031,"GRAYS HARBOR COMMUNITY HOSPITAL",28.2083,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"94",10103,"PRINCETON BAPTIST MEDICAL CENTER",22.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"95",40029,"CONWAY REGIONAL MEDICAL CENTER",38.25,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"96",140067,"SAINT FRANCIS MEDICAL CENTER",28.2619,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"97",140113,"PRESENCE COVENANT MEDICAL CENTER",33.7381,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"98",150133,"KOSCIUSKO COMMUNITY HOSPITAL",36.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"99",260095,"CENTERPOINT MEDICAL CENTER",28.7619,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"100",340129,"LAKE NORMAN REGIONAL MEDICAL CENTER",38.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"101",440025,"LAUGHLIN MEMORIAL HOSPITAL, INC",35,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.5
"102",450742,"BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE",32.619,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"103",10164,"COOSA VALLEY MEDICAL CENTER",24.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"104",100017,"HALIFAX HEALTH MEDICAL CENTER",14.7381,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"105",150128,"COMMUNITY HOSPITAL SOUTH",23.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"106",160008,"KEOKUK AREA HOSPITAL",11,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"107",180051,"JENNIE STUART MEDICAL CENTER",34.119,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"108",220066,"MERCY MEDICAL CTR",24.4762,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"109",290001,"RENOWN REGIONAL MEDICAL CENTER",16.7619,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"110",520160,"THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC",25.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.6
"111",10024,"JACKSON HOSPITAL & CLINIC INC",25,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"112",10065,"RUSSELL MEDICAL CENTER",40.375,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"113",40020,"ST BERNARDS MEDICAL CENTER",25.8333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"114",130003,"ST JOSEPH REGIONAL MEDICAL CENTER",28.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"115",140234,"ILLINOIS VALLEY COMMUNITY HOSPITAL",48,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"116",150058,"MEMORIAL HOSPITAL OF SOUTH BEND",33.0476,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"117",170150,"SOUTH CENTRAL KS MED CENTER",39.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"118",180093,"BAPTIST HEALTH MADISONVILLE",25.1786,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"119",180139,"KENTUCKY RIVER MEDICAL CENTER",35.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"120",190020,"LANE REGIONAL MEDICAL CENTER",42.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"121",230030,"MIDMICHIGAN MEDICAL CENTER-GRATIOT",23.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.7
"122",310021,"ST FRANCIS MEDICAL CENTER",17,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"123",110002,"UPSON REGIONAL MEDICAL CENTER",24.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"124",110011,"TANNER MEDICAL CENTER - CARROLLTON",38.9524,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"125",110164,"COLISEUM MEDICAL CENTERS",29.9524,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"126",120026,"PALI MOMI MEDICAL CENTER",49.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"127",250084,"MERIT HEALTH NATCHEZ",33.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"128",320004,"GERALD CHAMPION REGIONAL MEDICAL CENTER",14.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"129",440035,"TENNOVA HEALTHCARE-CLARKSVILLE",20.9286,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"130",520100,"BELOIT MEMORIAL HOSPITAL",35.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"131",10101,"CITIZENS BAPTIST MEDICAL CENTER",36.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"132",50069,"ST JOSEPH HOSPITAL",26.9286,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"133",50093,"SAINT AGNES MEDICAL CENTER",17.8929,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"134",70011,"CHARLOTTE HUNGERFORD HOSPITAL",26,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"135",100126,"PALMS OF PASADENA HOSPITAL",37.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"136",240040,"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS",37,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"137",240106,"REGIONS HOSPITAL",28.4762,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"138",330193,"FLUSHING HOSPITAL MEDICAL CENTER",29.8929,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"139",330307,"CAYUGA MEDICAL CENTER AT ITHACA",35.7857,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"140",340141,"NEW HANOVER REGIONAL MEDICAL CENTER",37.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"141",440033,"TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER",29,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"142",490093,"SENTARA CAREPLEX HOSPITAL",29.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"143",100045,"FLORIDA HOSPITAL DELAND",48.881,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.8
"144",100052,"WINTER HAVEN HOSPITAL",27.0476,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"145",110031,"WELLSTAR SPALDING REGIONAL HOSPITAL",18,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"146",140054,"MACNEAL HOSPITAL",19.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"147",140089,"MC DONOUGH DISTRICT HOSPITAL",27.25,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"148",160146,"ST LUKES REGIONAL MEDICAL CENTER",33.8571,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"149",260052,"MERCY HOSPITAL WASHINGTON",50.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"150",340015,"NOVANT HEALTH ROWAN MEDICAL CENTER",21.9405,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"151",340039,"IREDELL MEMORIAL HOSPITAL INC",33.6071,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"152",340068,"COLUMBUS REGIONAL HEALTHCARE SYSTEM",47.131,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"153",340109,"SENTARA ALBEMARLE MEDICAL CENTER",46.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"154",370004,"INTEGRIS MIAMI HOSPITAL",47.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"155",370236,"INTEGRIS HEALTH EDMOND",34.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"156",390123,"POTTSTOWN HOSPITAL",25.4643,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"157",440185,"TENNOVA HEALTHCARE-CLEVELAND",20.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"158",10089,"WALKER BAPTIST MEDICAL CENTER",33.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"159",100035,"MANATEE MEMORIAL HOSPITAL",16.7619,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",12.9
"160",140110,"OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER",37.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"161",180064,"SAINT JOSEPH MOUNT STERLING",37.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"162",260005,"SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES",26.8214,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"163",330044,"FAXTON-ST LUKE'S HEALTHCARE",15.0952,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"164",330073,"UNITED MEMORIAL MEDICAL CENTER",61.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"165",340070,"ALAMANCE REGIONAL MEDICAL CENTER",33.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"166",450104,"GUADALUPE REGIONAL MEDICAL CENTER",32.25,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"167",450132,"MEDICAL CENTER HOSPITAL",14.6786,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"168",490117,"CARILION TAZEWELL COMMUNITY HOSPITAL",24.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"169",100191,"MEDICAL CENTER OF TRINITY",30.5357,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"170",110015,"TANNER MEDICAL CENTER VILLA RICA",47.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"171",110064,"MIDTOWN MEDICAL CENTER",22.0119,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"172",140185,"MEMORIAL HOSPITAL",46.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"173",170006,"VIA CHRISTI HOSPITAL PITTSBURG INC",36.3333,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"174",340032,"CAROMONT REGIONAL MEDICAL CENTER",40.5238,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"175",340041,"CALDWELL MEMORIAL HOSPITAL",26.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"176",360121,"COMMUNITY HOSPITALS AND WELLNESS CENTERS",26.0833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"177",370056,"COMANCHE COUNTY MEMORIAL HOSPITAL",33.2738,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"178",390116,"SUBURBAN COMMUNITY HOSPITAL",27.5,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"179",490075,"SOVAH HEALTH DANVILLE",23.9643,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"180",40015,"MENA REGIONAL HEALTH SYSTEM",39.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"181",50127,"WOODLAND MEMORIAL HOSPITAL",32.4167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"182",100118,"FLORIDA HOSPITAL FLAGLER",26.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"183",110005,"NORTHSIDE HOSPITAL FORSYTH",36.3214,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13
"184",140052,"OSF SAINT ANTHONY'S HEALTH CENTER",36.2083,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"185",230180,"MIDMICHIGAN MEDICAL CENTER-CLARE",50.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"186",250057,"KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN",41.1667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"187",330033,"CHENANGO MEMORIAL HOSPITAL, INC",54.6667,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"188",330204,"BELLEVUE HOSPITAL CENTER",16.5833,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"189",370149,"ST ANTHONY SHAWNEE HOSPITAL",41.75,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"190",450024,"UNIVERSITY MEDICAL CENTER OF EL PASO",17.881,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"191",500014,"PROVIDENCE REGIONAL MEDICAL CENTER EVERETT",35.7143,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"192",500050,"PEACEHEALTH SOUTHWEST MEDICAL CENTER",30.9048,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"193",510071,"BLUEFIELD REGIONAL MEDICAL CENTER",32.9167,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"194",10129,"NORTH BALDWIN INFIRMARY",47.875,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"195",20017,"ALASKA REGIONAL HOSPITAL",44.369,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"196",50133,"RIDEOUT MEMORIAL HOSPITAL",21.4881,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
"197",100040,"ST VINCENT'S MEDICAL CENTER RIVERSIDE",33.1786,"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN",13.1
